name,description,category,subcategory,subsubcategory,combatscore,runescore
"...You'd Best Come A-cookin'","Cook a rocktail on a range in the Falador area.","Area Tasks","Elite Falador","N/A","N/A","25"
"'Phite Club","Complete this quest.","Lore","Quests","N/A","N/A","0"
"'Phite for Your Right I","Complete a city quest from an inhabitant of Menaphos.","Exploration","Menaphos","N/A","N/A","5"
"'Phite for Your Right II","Complete 10 city quests from an inhabitant of Menaphos. (X/10)","Exploration","Menaphos","N/A","N/A","10"
"'Phite for Your Right III","Complete 50 city quests from an inhabitant of Menaphos. (X/50)","Exploration","Menaphos","N/A","N/A","15"
"'Phite for Your Right IV","Complete 100 city quests from an inhabitant of Menaphos. (X/100)","Exploration","Menaphos","N/A","N/A","20"
"'Phite for Your Right V","Complete 200 city quests from an inhabitant of Menaphos. (X/200)","Exploration","Menaphos","N/A","N/A","25"
"(Living on a) Prayer 92","Reach level 92 in the Prayer skill.","Skills","Prayer","N/A","N/A","5"
"61 Shades of Red","Obtained a collection of unique drops from Slayer monsters from and around Daemonheim.","Feats","Slayer Logs","N/A","N/A","0"
"99 With a Flake","Unfurl a flag in the Max Guild garden or jump for joy if you have already unfurled them all.","Area Tasks","Elite Tirannwn","N/A","N/A","25"
"300","Complete Three's Company with 100%.","Area Tasks","Medium Daemonheim","N/A","N/A","10"
"1001 Kharidian Spikes","Harvest spines from a cactus you grew yourself in Al Kharid.","Area Tasks","Hard Desert","N/A","N/A","15"
"A Barrel of Staffs","Purchase a God staff from the Chamber guardian in the Mage Arena.","Area Tasks","Medium Wilderness","N/A","N/A","10"
"A Bit TOO Familiar","Play as the following familiars in Familiarisation.","Activities","Distractions & Diversions","N/A","N/A","40"
"A Blight of Bloom and Hatchets","Work with Ramarno (in Camdozaal) to obtain a hatchet of bloom and blight. (X/9)","Skills","Woodcutting","N/A","N/A","30"
"A Body in the Sewers","Smith a mithril platebody on the anvil in the jailhouse sewers.","Area Tasks","Hard Lumbridge","N/A","N/A","15"
"A Bolt from the Blue","Smith and fletch 10 rune bolts at once within Varrock.","Area Tasks","Elite Varrock","N/A","N/A","25"
"A Bridge Not Far","Cross the River Lum using a crossbow.","Area Tasks","Medium Desert","N/A","N/A","10"
"A Brief History of Telescopes","Discover the pieces of a famous quote from Stephen Hawking. (X/4)","Feats","Events","N/A","N/A","0"
"A bug in the system","Find and read the scruffy note in the Scabarite Cavern.","Lore","Books","N/A","N/A","5"
"A Cat is For Life...","Talk to a civilian in West Ardougne about selling a cat.","Area Tasks","Easy Ardougne","N/A","N/A","5"
"A Change of Pace","Unlock the ability to change your spellbook using War's Grimoire at War's Retreat.","Combat","PvM Hub: War's Retreat","N/A","N/A","30"
"A Charm Saved is a Charm Earned","Charge or combine a spirit gem.","Skills","Summoning","N/A","N/A","10"
"A Chip Off The Old Block","Obtained a collection of unique drops from the Gate of Elidinis.","Feats","Boss Logs","N/A","N/A","0"
"A Clean Slate","Cleanse the Corrupted Seren Stone with at least one crystal.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"A Clockwork Syringe","Complete this quest.","Lore","Quests","N/A","N/A","0"
"A Cultist's Journey","Complete the 'A Cultist's Journey' tasks from the Curator.","Lore","Miniquests","N/A","N/A","5"
"A Druid's Sidekick","Unlock all upgrades from Sydekix's Shop.","Skills","Farming","N/A","N/A","25"
"A Face in the Clouds","Bring a mound of bacon, bread and a chocolate bar to Seren.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
